"","Metabolite","R2_Model_kr","CST","GestationalAge","BMI","Ethnicity","Age","R2Conditional_nsj","R2Marginal_nsj","Adjusted_ICC","R2_Model_kr_pval","CST_pval","GestationalAge_pval","BMI_pval","Ethnicity_pval","Age_pval","R2Conditional_nsj_pval","R2Marginal_nsj_pval","Adjusted_ICC_pval"
"1463","595.4761598",0.109892789524493,0.0312258482671217,0.00641575440165205,0.00863142594615607,0.0766309207797364,0.00465465935004354,0.253017098397367,0.0688936629844089,0.175775987642725,0.0180557213408518,0.172740587711921,0.135382697635712,0.208887486937479,0.0190541510598698,0.344747281434381,NA,NA,NA
"1464","596.5062476",0.131309331942559,0.0412537165518325,0.00360933114582927,0.00448494628980399,0.100603030870035,0.00651159637958484,0.372729174937016,0.0937318948803342,0.282431608117048,0.00191476092059551,0.0401051208164474,0.271095084302495,0.362690826822991,0.00261538048724261,0.262638252304527,NA,NA,NA
"1465","597.3272219",0.0619556443817336,0.0148629955631537,0.000493987829858007,0.0120176191829388,0.035791009088107,0.000150129577964759,0.094695265207995,0.0319096103058635,0.0648551577110147,0.450405274350118,0.700660923692704,0.673069880253619,0.141351023604361,0.345172093732504,0.865989147040716,NA,NA,NA
"1466","597.486354",0.169537980193683,0.0402944406616984,0.0112722603184773,0.021087432763234,0.118049060372659,0.00190803802075611,0.283668468813103,0.103499094465934,0,5.82340727998887e-05,0.0762749015061138,0.0464079718138773,0.0504168962602941,0.000415174324410878,0.546334283698023,NA,NA,NA
"1467","598.4938546",0.199285003389558,0.116485762333036,0.000107746528369976,0.00241198054373075,0.0858694691863248,0.000442699808236236,0.383664903987619,0.138304590718865,0.164733442548325,1.06038628681648e-06,1.46924471937791e-06,0.848204719394756,0.506850259101202,0.00930273151618809,0.770924817036997,NA,NA,NA
"1468","599.3217209",0.135603848123532,0.0379682651001325,0.0423942030574753,0.0113847871637513,0.0358334515178247,0.00295885657515271,0.335063945760123,0.0779429341888325,0.192338333201054,0.00143058734177252,0.0690489500866387,0.000125010855333754,0.147894886823729,0.370395329058511,0.451134457100346,NA,NA,NA
"1469","599.4999776",0.0911574543279158,0.0390877046409028,0.000619139181249543,0.000728293034570691,0.0442407293791348,0.00330323773884607,0.386496622699282,0.0667585657094448,0.334486399019026,0.0601175689198823,0.0442278118387062,0.65086931660679,0.713386502644641,0.230959387361047,0.425032122704603,NA,NA,NA
"1470","600.3545072",0.0415580628302929,0.0216083817362477,0.00119373678218039,0.00053530363727937,0.0146319112905672,0.00202901587408375,0.112881404887087,0.0213700692974399,0.0226297775943245,0.828900577323004,0.461317418471848,0.512959373080288,0.756955895283306,0.869598864516984,0.534427309801972,NA,NA,NA
"1471","600.5140618",0.0760388466114144,0.0263543328274142,0.00598449363882638,0.00010760004416349,0.044197938676842,0.000684945272162865,0.282234070368138,0.0476033800437066,0.178294463427322,0.195561609663322,0.24789949240249,0.151632867417498,0.888542047142864,0.222739193114014,0.717162253244815,NA,NA,NA
"1472","601.1389942",0.120037261566787,0.0672750403317546,0.0117130505203527,0.0237693296410508,0.0288614159152213,9.39311886915977e-05,0.0964977632143098,0.0610325729411801,0,0.0103983112824484,0.0080766842108131,0.0383933661744356,0.0387309648332664,0.498313441957013,0.893964249747155,NA,NA,NA
"1473","601.3536284",0.0949221525346935,0.0211878516221101,0.0048683992528372,0.00846337113272852,0.0714276665060094,1.83441823208416e-05,0.213554671812001,0.0567849520525479,0.166207823020426,0.061049478626821,0.430260443143325,0.191681564150625,0.213975607090813,0.0285062476125078,0.952787924900193,NA,NA,NA
"1474","601.5156874",0.0888686270151781,0.0387858464990182,0.00012730038083858,0.00288984986452163,0.0501054571326871,0.00246750668141231,0.289882101724795,0.0583156569207959,0.245906153296405,0.0836830324448519,0.067905919446942,0.834999592448257,0.46617815860675,0.151534024497388,0.491229174204394,NA,NA,NA
"1475","602.3382633",0.0563222343748468,0.0160037370131504,0.0081254384306203,0.00386748614431622,0.0277570365391698,0.00779148463487288,0.0533882898650394,0.027060644729897,9.30076964362324e-09,0.566922762472998,0.678091874018932,0.0844343142609746,0.40706417940914,0.524717811363712,0.224138863964977,NA,NA,NA
"1476","602.519305",0.0718939881331603,0.0221610067155396,0.00390688803195208,1.23262276892268e-06,0.0425542453145462,0.000491947694551147,0.307481999920394,0.0466068393284476,0.182330084019962,0.242870898267809,0.34589148647368,0.248397204252218,0.988026990165254,0.249166850178652,0.758827432946538,NA,NA,NA
"1477","603.5188607",0.0881236860946421,0.0402674244933902,0.001911994815653,0.0174941568837612,0.0325962992401973,0.000227470236001964,0.228703268302973,0.0531778926198943,0.185380815940717,0.0959275826524441,0.0715964285724929,0.41507221235783,0.0729425835796621,0.431652774268109,0.834750376287401,NA,NA,NA
"1478","604.4729258",0.216481691995959,0.0477132246754911,0.0853202266473774,0.0422679353029392,0.0351572700888297,0.0275000249514818,0.335077746947493,0.124432334357469,0.237729357410236,1.32243561628521e-07,0.0250548940312359,3.4257105664263e-08,0.00489442714954502,0.381919357387958,0.020759779717334,NA,NA,NA
"1479","604.5234177",0.176785178789755,0.0803356602049705,0.0154479097800484,0.0205645423326291,0.0630650938974456,0.00580103802672965,0.240269104270792,0.10395583927237,0.0909458821251943,2.72542913112328e-05,0.000862887878434824,0.0192349167864214,0.0527541088945465,0.054662751275146,0.292094817346997,NA,NA,NA
"1480","605.4765199",0.180512867511837,0.0453782713505051,0.0423781207339506,0.0612669560150838,0.0325999246749725,0.0261151565177053,0.316151316453051,0.11070466972672,0.231021770001331,1.2156181193249e-05,0.0343239357503535,0.000117900435015469,0.000666180905641729,0.436789513533152,0.0243113373570691,NA,NA,NA
"1481","606.3776234",0.185499831292878,0.0577387667992416,0.00164185906247038,0.00123665669925939,0.139882219104967,0.000440644837891959,0.130961752891808,0.0960618950776232,1.43811870307523e-07,1.5107348258168e-05,0.0216560466387297,0.439411101456357,0.63919380261676,2.98845771911462e-05,0.772787297426886,NA,NA,NA
"1482","606.4737136",0.247058313978869,0.0813354608794699,0.0877422285806375,0.0537198338737806,0.0203970167897359,0.00605325655623114,0.345559996288479,0.147022492082191,0.232758193930498,2.18887495771256e-09,0.000357183613544864,2.07137026198028e-08,0.00146958889974418,0.744112654668581,0.280660958758503,NA,NA,NA
