Seq_ID,DESI_ID,sobs,chao,chao_lci,chao_hci,ace,ace_lci,ace_hci,invsimpson,invsimpson_lci,invsimpson_hci,npshannon,coverage,shannon,shannon_lci,shannon_hci,nseqs
G001,188,4,4.5,4.030262,12.261169,7,4.652242,17.798569,1.00603,1.000175,1.011953,0.032825,0.9985,0.023547,0.00334,0.043754,15514
G002,424,4,4.5,4.030262,12.261169,7,4.652242,17.798569,1.00603,1.000175,1.011953,0.032825,0.9985,0.023547,0.00334,0.043754,26990
G004,112,5,5.5,5.030262,13.261169,6.786667,5.193148,21.527141,1.010585,1.002815,1.018477,0.049481,0.9985,0.039509,0.014061,0.064958,4689
G005,15,14,21,15.340979,50.540456,54.301406,30.993331,109.578867,1.153589,1.121651,1.1874,0.390824,0.994749,0.362296,0.302741,0.42185,24498
G006,248,14,28,16.920488,81.112081,83.841269,50.017386,149.429117,1.235618,1.195192,1.278875,0.479005,0.993998,0.448923,0.390005,0.50784,23993
G007,322,14,17,14.39133,36.998494,18.157127,14.820734,35.056394,2.896058,2.808186,2.989608,1.216995,0.996999,1.200988,1.156697,1.245279,17829
G008,442,3,3,3,0,4.854595,3.229663,17.976415,1.015138,1.005855,1.024594,0.050476,0.99925,0.046616,0.022243,0.070989,36435
G009,462,12,21.333333,13.937063,56.970717,32,15.457745,127.682332,1.741226,1.680805,1.806153,0.701903,0.993998,0.67165,0.632826,0.710475,16353
G010,85,2,2,2,0,0,0,0,1.001503,0.998582,1.00444,0.010034,0.99925,0.006148,-0.004478,0.016773,23411
G011,111,7,9,7.249903,23.006186,13,9.052146,24.542611,1.012114,1.003792,1.020576,0.065588,0.996999,0.047085,0.018563,0.075608,14678
G012,200,6,7.5,6.149231,21.077277,21.03625,10.878813,52.340951,1.019768,1.009115,1.030648,0.079428,0.997749,0.066356,0.035304,0.097408,29071
G013,366,10,12.5,10.368021,26.982713,15,12.851187,18.768279,1.021342,1.01024,1.032691,0.104926,0.996249,0.080423,0.04381,0.117036,28244
G014,323,8,8.25,8.013038,12.793627,9.666667,8.52219,13.31948,1.065766,1.045861,1.086444,0.193303,0.9985,0.181207,0.135766,0.226647,28485
G015,532,7,8,7.072542,20.78512,8.032216,7.103595,17.284947,1.043298,1.027303,1.0598,0.142939,0.9985,0.13512,0.093112,0.177128,33216
G016,425,2,2,2,0,0,0,0,1.001503,0.998582,1.00444,0.010034,0.99925,0.006148,-0.004478,0.016773,27335
G017,190,5,5.5,5.030262,13.261169,7.222222,5.251778,24.613623,1.012108,1.003794,1.020562,0.053537,0.9985,0.043965,0.017559,0.070372,20008
G018,36,5,6.5,5.149231,20.077277,11,5.891606,45.376578,1.007546,1.000992,1.014186,0.042837,0.997749,0.029693,0.00688,0.052505,35767
G019,199,9,11,9.249903,25.006186,13.444444,9.773869,34.525099,1.024437,1.012542,1.036615,0.106949,0.996999,0.087705,0.050576,0.124834,17545
G020,441,6,7.5,6.149231,21.077277,10.5625,6.627919,39.151425,1.013638,1.004806,1.022627,0.063533,0.997749,0.050109,0.021671,0.078546,25340
G021,533,3,4,3.077375,15.924098,0,0,0,1.003009,0.998876,1.007176,0.020061,0.9985,0.012295,-0.002725,0.027314,31336
G022,103,2,2,2,0,0,0,0,1.001503,0.998582,1.00444,0.010034,0.99925,0.006148,-0.004478,0.016773,36205
G023,365,8,14,8.9584,45.5626,13.711111,8.942709,42.598996,1.02443,1.012541,1.036601,0.102113,0.996999,0.085285,0.04929,0.121279,24438
G024,35,8,11.333333,8.503451,30.06988,16.75,10.427616,39.538148,1.013644,1.004805,1.022641,0.075578,0.996249,0.053229,0.022818,0.083639,41830
G025,86,1,1,1,1,0,0,0,1,1,1,0,1,0,0,0,21047
G026,104,2,2,2,0,0,0,0,1.001503,0.998582,1.00444,0.010034,0.99925,0.006148,-0.004478,0.016773,31834
G027,22,5,5.5,5.030262,13.261169,8,5.569395,20.806245,1.48234,1.427755,1.541265,0.53222,0.9985,0.523694,0.488598,0.558789,25349
G028,17,18,23,18.864775,46.909245,23.690103,19.245261,44.000378,1.305111,1.256002,1.358215,0.647098,0.995499,0.623088,0.55045,0.695726,31679
G029,321,10,20,11.917151,62.160726,25.379008,15.289788,54.711413,1.095715,1.071296,1.121273,0.266897,0.996249,0.248262,0.19671,0.299815,18667
G030,313,21,23.5,21.409254,36.271686,25.801782,22.157561,40.918697,1.140273,1.109634,1.172652,0.426853,0.995499,0.395548,0.326163,0.464933,27829
G031,581,2,2,2,0,0,0,0,1.001503,0.998582,1.00444,0.010034,0.99925,0.006148,-0.004478,0.016773,23284
G032,108,18,63.5,30.085622,189.298583,177.781266,86.350893,391.51455,1.907153,1.851127,1.966677,0.808294,0.989497,0.759655,0.716245,0.803065,22566
G033,443,3,4,3.077375,15.924098,0,0,0,1.003009,0.998876,1.007176,0.020061,0.9985,0.012295,-0.002725,0.027314,20808
G034,351,11,32,16.135936,96.865554,0,0,0,2.303577,2.235329,2.376125,0.996886,0.994749,0.974707,0.932204,1.01721,22580
G035,91,17,19,17.249903,33.006186,19.482463,17.427425,31.418013,2.065493,1.970059,2.170645,1.052483,0.996999,1.035123,0.972335,1.097912,40534
