Seq_ID,CST_11,CST,SilhouetteValues,LactobacillusPercentage,LDominant_CST,LDominant_RelAbundance
G314,I,I,0.8548340475318039,99.84670546663895,LDominant,LDominant
G289,I,I,0.8740680599928313,99.83190001705363,LDominant,LDominant
G471,IV - Gardnerella,IV,0.20679103330147444,0.37341899217024693,LDepleted,LDepleted
G519,IV - Gardnerella,IV,0.14417826210579732,3.4620672415948004,LDepleted,LDepleted
G422,IV - Gardnerella + L. gasseri,IV,0.17461406227955248,20.01148885059272,LDepleted,LDepleted
G434,I,I,0.7973822655918457,97.63499372122227,LDominant,LDominant
G442,I,I,0.8367802962251124,98.28938339378493,LDominant,LDominant
G423,I,I,0.8819938586239728,99.94271529501623,LDominant,LDominant
G357,I,I,0.872210109940249,99.57574245071126,LDominant,LDominant
G354,I,I,0.8778548440099849,99.94436201780415,LDominant,LDominant
G375,I,I,0.8817000313409354,99.95698588354905,LDominant,LDominant
G408,IV - Gardnerella,IV,0.1107034550866036,11.706987851728792,LDepleted,LDepleted
G366,IV - Gardnerella + L. iners,IV,0.3859573107299278,40.52489640202592,LDepleted,LDepleted
G520,IV - Gardnerella,IV,0.1991859687744902,6.357092808459138,LDepleted,LDepleted
G103,V - Mix L.iners,V,0.46800623250229867,99.50531875325449,LDominant,LDominant
G165,V - Mix L.iners,V,0.3714645865860884,99.9366773712063,LDominant,LDominant
G034,V - Mix L.iners,V,0.5448494905480114,98.37909654561558,LDominant,LDominant
G300,I,I,0.7213677459121719,99.37213565536204,LDominant,LDominant
G195,I,I,0.8743959305960833,99.93614064084746,LDominant,LDominant
G297,I,I,0.8610041460490414,99.69263869678807,LDominant,LDominant
G333,III,III,0.737465243848453,99.95242512904684,LDominant,LDominant
G274,III,III,0.7387906612895829,99.98643745973621,LDominant,LDominant
G170,V - Mix L.iners,V,0.6020467117570791,99.4819179195449,LDominant,LDominant
G081,V - Mix L.iners,V,0.6193555694985254,99.22370680002986,LDominant,LDominant
G235,I,I,0.8853867971669152,99.95844542134155,LDominant,LDominant
G076,I,I,0.8771107324042278,99.7233284426745,LDominant,LDominant
G106,IV - Gardnerella,IV,0.4181897473405077,0.09600236313509256,LDepleted,LDepleted
G046,I,I,0.8748515073654055,99.69027527574981,LDominant,LDominant
G023,I,I,0.8567559081572301,99.12840657991653,LDominant,LDominant
G013,I,I,0.8575715225421897,99.12547797762356,LDominant,LDominant
G265,II,II,0.6232171299199232,99.47214255202294,LDominant,LDominant
G197,II,II,0.6171212409897159,99.11988265102013,LDominant,LDominant
G283,II,II,0.5633603135102673,96.49298310801154,LDominant,LDominant
G271,V - Mix L.iners,V,0.28762166131711364,99.972783561271,LDominant,LDominant
G321,V - Mix L.iners,V,0.599401919736823,99.96373088315299,LDominant,LDominant
G286,V - Mix L.iners,V,0.6029550635282459,99.94160242933894,LDominant,LDominant
G228,I,I,0.8712410220784134,99.94317301234695,LDominant,LDominant
G083,I,I,0.8462854850867207,98.90234059725586,LDominant,LDominant
G518,I,I,0.883960298018523,99.98370114417968,LDominant,LDominant
G433,I,I,0.8844452350578419,99.97208912871564,LDominant,LDominant
G184,I,I,0.8165046101344402,99.87947097530784,LDominant,LDominant
G461,III,III,0.7333436701690726,99.90410150486869,LDominant,LDominant
G488,IV - Gardnerella + L. iners,IV,0.09128855743161164,74.69355326876513,LDepleted,LDepleted
G209,V - Mix L.iners,V,0.5872818348585004,99.99541872823896,LDominant,LDominant
G205,V - Mix L.iners,V,0.6181384368931063,99.98381615148082,LDominant,LDominant
G207,V - Mix L.iners,V,0.6860337741944154,99.99371721169855,LDominant,LDominant
G248,I,I,0.8843154719742004,99.95402461451408,LDominant,LDominant
G149,I,I,0.885670683742191,99.98969284683571,LDominant,LDominant
G176,I,I,0.8802184708209938,99.81506472734543,LDominant,LDominant
G540,I,I,0.436601243291914,97.37067991868082,LDominant,LDominant
G458,I,I,0.7889989362426084,97.22024908841217,LDominant,LDominant
G483,I,I,0.490121951767075,98.50560398505604,LDominant,LDominant
G443,I,I,0.8831131085829935,99.99542836243943,LDominant,LDominant
G417,I,I,0.8296980764317429,99.98104552864021,LDominant,LDominant
G521,I,I,0.8831317329817557,99.996306419443,LDominant,LDominant
G456,IV - Mix Anaerobes/Other Lactobacilli,IV,0.08168006572783382,3.9839868808180197,LDepleted,LDepleted
G567,IV - Mix Anaerobes/Other Lactobacilli,IV,0.08818015402453236,0.6531816266329541,LDepleted,LDepleted
G447,IV - Mix Anaerobes/Other Lactobacilli,IV,0.03636604645986195,99.88140309264243,LDepleted,LDominant
G387,II - L.gasseri + Atopobium,II,0.0979608915004435,63.16466976928409,LDominant,LDepleted
G351,II - L.gasseri + Atopobium,II,0.0253215915302082,74.51420029895365,LDominant,LDepleted
G383,II - L.gasseri + Atopobium,II,0.17789436903381423,66.81018640063009,LDominant,LDepleted
G341,I,I,0.5571227598456383,98.59220764937172,LDominant,LDominant
G277,I,I,0.017621534533389202,91.0406267770266,LDominant,LDominant
