"","Metabolite","I - II _pval","I - III _pval","I - IV _pval","I - V _pval","I - VII _pval","II - III _pval","II - IV _pval","II - V _pval","II - VII _pval","III - IV _pval","III - V _pval","III - VII _pval","IV - V _pval","IV - VII _pval","V - VII _pval","LDepleted _pval","36 - 8 _pval"
"308",181.9662136,0.565491942653706,0.0253812731580848,0.0317243439687648,0.30316089158989,0.784969650418559,0.0443133987826557,0.0371693298202693,0.291682564282369,0.97143143133354,0.912877542836603,0.972478113007687,0.947929003265085,0.852833201928077,0.989002888860336,0.969836527042072,0.181260150258627,0.822627706283644
"309",181.9917796,0.92801833851817,0.529217760515568,0.937839775126081,0.970055896350248,0.93684655511233,0.654818960450858,0.914105134527617,0.925084488803931,0.993616814079587,0.724659003374987,0.954047062356183,0.947929003265085,0.974784797597471,0.989002888860336,0.969836527042072,0.980334428773377,0.440918915359728
"310",182.0468937,0.510664018603786,0.948199352444095,0.500388071718041,0.812036426401892,0.893807483217411,0.564102983110226,0.97313577871679,0.95519566234848,0.974688175052561,0.521227793203236,0.909002348737725,0.947929003265085,0.967955780241872,0.989002888860336,0.969836527042072,0.759873865237761,0.890990752278265
"311",182.9613571,0.733210146161658,0.788137295076724,0.752294754202737,0.997258001826337,0.90121179079455,0.924331623188665,0.973989353203018,0.90889848756093,0.97143143133354,0.963635174673422,0.977711824893641,0.947929003265085,0.891463216420301,0.989002888860336,0.969836527042072,0.913449101579227,0.844184282651634
"312",183.013008,0.12136471370924,0.855513624361182,0.908296517257499,0.966176261840071,0.602478892370914,0.369406495968263,0.246973440485709,0.610169169420803,0.551809473544991,0.799719196214572,0.993761182340296,0.947929003265085,0.869823483940312,0.974725202736332,0.903376984454665,0.573431602216593,0.270530030670941
"313",183.966588,0.831878538317419,0.802057349090687,0.219684480625433,0.812239045699508,0.895181425148351,0.718431142104532,0.362066168043897,0.775636117710151,0.973891343275925,0.48611190257409,0.968024249202898,0.947929003265085,0.786873421985903,0.989002888860336,0.969836527042072,0.308802754579699,0.844184282651634
"314",185.056818,0.155188135513557,0.94814631202217,0.335225893968839,0.997258001826337,0.893807483217411,0.35669571328147,0.863900177805653,0.608122053734223,0.9753242331039,0.488385885297464,0.993761182340296,0.947929003265085,0.576034349726728,0.989002888860336,0.969836527042072,0.647887359368863,0.46356792749048
"315",185.1000812,0.998089761697801,0.34831722212499,0.742621054546454,0.658777918746538,0.893807483217411,0.628562867034832,0.893733849443213,0.791551249751099,0.97143143133354,0.269436416515426,0.991018115004391,0.947929003265085,0.355945664396383,0.989002888860336,0.969836527042072,0.448025922532105,0.955545158128246
"316",185.1631701,0.951197493027763,0.699214034353202,0.436230848706628,0.997258001826337,0.893807483217411,0.747874878832906,0.641454378631886,0.953860538876464,0.97143143133354,0.783056311382236,0.968024249202898,0.947929003265085,0.687867852225607,0.989002888860336,0.969836527042072,0.525953241488579,0.851244307915485
"317",186.0457648,0.594488297387361,0.476273075327912,8.59440471699676e-14,0.925902930653466,0.0064098617305705,0.997779317784959,6.04347927338818e-07,0.759269614640444,0.0601409310048176,4.768976351168e-10,0.758604521905133,0.033303223149686,4.75932993426542e-11,0.989002888860336,0.00945611653573402,3.2822723611401e-14,0.63113195610929
"318",186.128637,0.38991749761461,0.858982821540571,0.416866839248443,0.508086671632424,0.893807483217411,0.654397767546306,0.970627818692367,0.966392822386396,0.97143143133354,0.641112676997514,0.815158314363763,0.947929003265085,0.920318954283596,0.989002888860336,0.969836527042072,0.847264599707501,0.840411233316703
"319",186.405124,0.676613475044093,0.979138068508302,0.655141263017237,0.822896671268759,0.893807483217411,0.741344200568624,0.987592002502674,0.995654492345847,0.97143143133354,0.725888284322651,0.93592297891067,0.947929003265085,0.980753972659869,0.989002888860336,0.969836527042072,0.876593245451754,0.140813166726498
"320",187.0073252,0.319407623874809,0.944835745502909,0.473085163386486,0.997258001826337,0.476215601425164,0.49332122909631,0.889332103858707,0.745225586366423,0.97143143133354,0.616576024230263,0.991018115004391,0.860656212930718,0.687867852225607,0.989002888860336,0.822234795539031,0.739853791108604,0.00617925925388466
"321",187.0225,0.554724315017221,0.267156082649327,0.366015926180314,0.979561563731459,0.893807483217411,0.917059740884021,0.968759868617867,0.868449632906913,0.97143143133354,0.986238053233098,0.857670973542515,0.947929003265085,0.655622516482993,0.989002888860336,0.969836527042072,0.720129986452305,0.197086008167358
"322",187.0421805,0.381840971601401,0.669297880591282,5.72654194651495e-16,0.970055896350248,0.417923784600622,0.731246110140953,2.32907641726023e-07,0.691689134509146,0.97143143133354,7.42357792033529e-13,0.929821710171183,0.883918588807263,2.62529506982076e-12,0.989002888860336,0.613792622476779,2.41748934068565e-16,0.704355082782012
"323",187.0977811,0.949667312729345,0.57710133482159,0.554185330996129,0.917439659471407,0.893807483217411,0.788686693842698,0.843298851060506,0.90250521411061,0.97143143133354,0.964778851264386,0.815158314363763,0.947929003265085,0.518190471247942,0.989002888860336,0.969836527042072,0.643362085263635,0.500929220217035
"324",187.1089442,0.0158260989035896,0.781552770917118,5.17346369298157e-09,0.464024053937579,0.106029439260424,0.156872124696312,0.0819347623193458,0.759269614640444,0.97143143133354,4.21027765112062e-07,0.829651878899706,0.29816455304172,0.000753460814673994,0.989002888860336,0.613792622476779,1.10916962550079e-06,0.0242426313139935
"325",187.6851774,0.875545487781161,0.363506298653127,0.939136436629116,0.812036426401892,0.893807483217411,0.739625396672316,0.970627818692367,0.92037317343639,0.97143143133354,0.607819914923826,0.977711824893641,0.983201903743247,0.806714517859192,0.989002888860336,0.970268499272224,0.822250221600664,0.277173758812986
"326",188.0105917,0.740904931929359,0.732035265084005,0.300540217582146,0.659912263372612,0.893807483217411,0.968990624800747,0.843298851060506,0.90889848756093,0.97143143133354,0.626682181857405,0.93592297891067,0.947929003265085,0.964147363393427,0.989002888860336,0.969836527042072,0.629525592973801,0.287957111261249
"327",188.0455832,0.19726797951135,0.476923842843583,0.000621747564605448,0.997258001826337,0.507133024729761,0.695511196882029,0.452916262433384,0.613077736847607,0.97143143133354,0.0308552270056878,0.929821710171183,0.947929003265085,0.0101202013732305,0.989002888860336,0.866849981975502,0.00521884613708123,0.860081802795762
