"","Metabolite","I - II _pval","I - III _pval","I - IV _pval","I - V _pval","I - VII _pval","II - III _pval","II - IV _pval","II - V _pval","II - VII _pval","III - IV _pval","III - V _pval","III - VII _pval","IV - V _pval","IV - VII _pval","V - VII _pval","LDepleted _pval","36 - 8 _pval","I - II _t.ratio","I - III _t.ratio","I - IV _t.ratio","I - V _t.ratio","I - VII _t.ratio","II - III _t.ratio","II - IV _t.ratio","II - V _t.ratio","II - VII _t.ratio","III - IV _t.ratio","III - V _t.ratio","III - VII _t.ratio","IV - V _t.ratio","IV - VII _t.ratio","V - VII _t.ratio","LDepleted _t.ratio","36 - 8 _t.ratio"
"828","451.2129128",0.266041899388348,0.194946197231629,0.526689398000272,0.0408272755612737,0.651177925918415,0.948144013973029,0.717548940688416,0.0123581081376416,0.964183031791055,0.718928248107077,0.00418510295544909,0.942849437450723,0.0325192442043258,0.837773789602754,0.254477567165489,0.527046798531573,0.97346387272618,1.11634743030073,1.30105423767652,0.634243797505484,-2.06018840925934,0.453013487419353,-0.0651368382767399,-0.362297268582618,-2.52930888842587,0.0449766837646299,-0.36040047497905,-2.89987409647448,0.0718067540673201,-2.15264134508166,0.20506583055227,1.1437679539418,-0.633612955476577,-0.0332889677964553
"829","451.2696686",0.000423274111076087,0.0758453744640442,3.71940600753148e-05,0.0291239484340625,0.105083754424869,0.0452366647755645,0.605652805714963,0.219239502158721,0.79719895030072,0.00718207854268768,0.499769035889771,0.281327984072288,0.0740222370559923,0.981300237522918,0.419694430670812,0.00924994258433561,0.502690348692867,3.59750511189424,1.78353000011306,4.20932894945583,2.1971673886296,1.62852231370252,-2.01556277943003,0.517077023054837,-1.23272450050465,0.257337306187211,2.71129185841785,0.675939037160388,1.08044951362434,-1.79444382734315,0.023468496407389,0.808727680647905,-2.62409191119556,0.67104921799224
"830","452.2802888",0.215748903898248,0.272201912672544,0.0212599991743242,0.51059669497309,0.653347733613001,0.0549332288410579,0.368108307965393,0.127868358787927,0.384287093056104,0.0026122089361107,0.815588094244363,0.901234557129084,0.0143398677750463,0.206310953758338,0.834768513904581,0.0115513648103627,0.828157011396153,1.24295961375793,-1.10121249503148,2.32189798049338,-0.659176562254903,-0.449950523654069,-1.93248168610345,0.902182180332377,-1.52994012211278,-0.872350785618263,3.04635880357605,0.233536116493495,-0.124297309761269,-2.4689654993426,-1.26854719445678,-0.208923380776033,-2.54777948142399,-0.217238242009255
"831","452.3587475",0.116161519667927,0.9944311593415,0.40415898760048,0.36500526415603,0.616939961710909,0.151367895761445,0.5731549850467,0.0471425288969437,0.299580012106461,0.420868684627277,0.404975590556193,0.623472119021066,0.158073470828069,0.435333029584461,0.863094731601335,0.477641149858988,0.539498570291207,1.58000847897759,-0.00698926874511691,0.836047215770038,-0.908146933953222,-0.501214719128032,-1.44127850502788,-0.564408859109238,-1.99965660697527,-1.04079081034975,0.806539350385388,-0.834638020936254,-0.491935417435345,-1.41667606943583,-0.782014561861327,-0.172722982520724,-0.711389004666996,0.614202104508235
"832","453.3018148",0.0277824835181776,0.376846335153591,0.0407617454332562,0.315203166248072,0.477145868313415,0.163992316709283,0.913996144034212,0.301612504041451,0.897271589012982,0.188205835079601,0.798725579982385,0.661170118303295,0.348587786291721,0.93679506825228,0.738004056516885,0.239167208798002,0.86263932735533,2.21982640906827,0.885520801748036,2.05788372932626,1.00686754320039,0.71243347595945,-1.39715630258738,-0.108130594871945,-1.03589570297431,-0.129295750263302,1.31966294201467,0.255304239699948,0.439048598384492,-0.939214926284353,-0.0794068504605991,0.335029627379946,-1.1800184651115,0.173156733777938
"833","454.4726814",0.313706589051423,0.105972440317275,0.0683482706369513,0.593900115981568,0.762000914948862,0.789993218193496,0.488012935588408,0.216147670166313,0.519068689693486,0.585294084065499,0.0840545666160442,0.444099635089906,0.0517109584029594,0.343720699441271,0.911568907376812,0.137963932983511,0.921138806323788,1.0108380092388,1.6249315981215,1.83319446865294,-0.534150415430936,-0.303392707460604,0.266752595873839,0.694881604988944,-1.24155461369472,-0.646237652897149,0.546555042092812,-1.7369798531638,-0.76727550712144,-1.95699062781691,-0.949571401261047,-0.111240730739251,-1.48928732026605,-0.0990735675069036
"834","455.2484533",0.759115344467819,0.39502313611396,0.154054194488722,0.32236103332342,0.441090259712148,0.370988261563208,0.161650301389354,0.305946590356834,0.532588627317724,0.456748173926624,0.791840226584401,0.311501445096072,0.666921527244473,0.204735504500918,0.273828774041426,0.235613136413036,0.0674685567400003,-0.307152898855892,0.852321165453182,1.43021960267941,0.992137558439789,-0.772361396733033,0.896801897119235,1.40454546901484,1.02668554462944,-0.62545946935931,0.745453194075985,0.264256569173928,-1.01543548285742,-0.430931741079728,-1.27325153077788,-1.09819392242235,-1.18903436153706,1.83466092113446
"835","455.3312537",1.31784978723042e-07,0.00358988112512236,1.7246893882214e-19,0.002184875822823,0.000385375920374935,0.0039076312330822,0.000318691658541428,0.0384876598518255,0.139346233981218,2.86150331983538e-12,0.532985347562172,0.00757716694297996,1.1544441453415e-08,0.868111360260563,0.0164919583228784,1.96429624046663e-13,0.185349409035211,5.51795591552705,2.9444749859815,9.97146201422575,3.10408023459129,3.6178851472819,-2.92186479027213,3.66269833452364,-2.0847695281309,1.48474360605741,7.37485070868336,0.624448668209541,2.70084622481862,-5.9221033075264,-0.1662823847384,2.42045037482883,-7.81408691942813,1.32736352158016
"836","456.3349646",1.74869505424944e-05,1.28493217670599e-05,8.05724999108501e-10,0.000367105611205139,0.0290142025631992,0.417017650325941,0.0942029455547064,0.436621916666879,0.601744610296451,0.00497673252782664,0.950215895970065,0.388995545954488,0.0118779490101286,0.815389241572551,0.384476516669793,0.000141286447065583,0.114261337146656,4.42667937885049,4.46810717700037,6.43568750808741,3.62519255065819,2.20117210900265,-0.813426887351123,1.68161308383761,-0.779644772850914,0.522823709807129,2.83595733914593,-0.0625086026414974,0.863567713322644,-2.53626083269714,-0.23380835233445,0.871832560057798,-3.87175995666816,1.58368413777911
"837","457.2677135",0.0989757681549322,0.582380067386039,0.0310282510611694,0.108715856080617,0.829189835253112,0.263515091817471,0.657592193895709,0.915993329113754,0.412416372069745,0.0934976972815054,0.284828771885069,0.706065745089904,0.568976641984435,0.3081008846217,0.436113254280367,0.170536778022206,0.0603555415884309,1.6592335159416,0.550782074359958,2.17050537270137,1.61139060228736,-0.216109717867022,-1.12153309889737,0.443880433984736,-0.105630485631946,-0.821863407601465,1.68413003991522,1.07226546717885,-0.377850335710292,-0.570381811876803,-1.02240237269883,-0.780803988428586,-1.37465646677102,1.88473766034084
