"","Metabolite","I - II _pval","I - III _pval","I - IV _pval","I - V _pval","I - VII _pval","II - III _pval","II - IV _pval","II - V _pval","II - VII _pval","III - IV _pval","III - V _pval","III - VII _pval","IV - V _pval","IV - VII _pval","V - VII _pval","LDepleted _pval","36 - 8 _pval","I - II _t.ratio","I - III _t.ratio","I - IV _t.ratio","I - V _t.ratio","I - VII _t.ratio","II - III _t.ratio","II - IV _t.ratio","II - V _t.ratio","II - VII _t.ratio","III - IV _t.ratio","III - V _t.ratio","III - VII _t.ratio","IV - V _t.ratio","IV - VII _t.ratio","V - VII _t.ratio","LDepleted _t.ratio","36 - 8 _t.ratio"
"784","531.2563691",0.546491477160766,0.353274032637183,0.193931163688051,0.713132545219248,0.421960613364023,0.218798023048402,0.564381707490697,0.43707160082855,0.317605867257835,0.0523519097898732,0.712929737345936,0.625554783895359,0.169935365877806,0.2045378797784,0.52941770996019,0.127047731422881,0.244721105101539,-0.604457725565511,0.930614419590374,-1.3035868539667,0.368202314746189,0.805044729422203,1.23421686720387,-0.577392788173272,0.779002987935084,1.00242428359548,-1.95106153003213,-0.368441435366675,0.488926979347437,1.37713928338904,1.2735013812694,0.63022117617629,1.53195872743004,-1.16546651450424
"785","531.3808539",0.0687298011474203,0.700826457331179,0.0377119566357316,0.579424282230729,0.123329560820145,0.174164372367092,0.802489923847007,0.0577385352090365,0.0303934993427503,0.0915631309560401,0.420226239517741,0.101771006792362,0.0304654724384509,0.0233536653628461,0.204998785605352,0.0701193613529371,0.423003776167003,-1.83450818968046,-0.384846614405815,-2.09295916606505,0.555210033155637,1.54913965184159,1.36489126917709,-0.25050268021127,1.91121018824959,2.18415952044759,-1.69517596572382,0.807765470294548,1.64593905913633,2.17921574136613,2.2881957747983,1.27255548481814,1.82082473721817,-0.802256427905977
"786","532.2799958",0.00986404410857459,0.535257890158513,0.0149488021832074,0.508505436063134,0.25816669974589,0.0523651273892289,0.896602648766915,0.108879462140571,0.979354922562888,0.0597350890319144,0.886532969604756,0.365830126026928,0.129398138445055,0.928234095971128,0.410008652307224,0.103485033047777,0.097394357754479,2.61008844387939,0.620996396393358,2.45146998550444,0.662296289659179,1.13477416846951,-1.95138643771788,-0.130102177233902,-1.61071663658871,0.0259180873709692,1.89108705055534,0.142848875468863,0.906901737447009,-1.52158282968015,0.0902006374257929,0.826023624656647,-1.63399663368062,1.66281643194638
"787","532.3501737",0.731504400186858,0.294550980347135,0.0523176825371601,0.888835443057507,0.565707596861627,0.639922504596793,0.190387434607831,0.870640857822829,0.675904179009414,0.292758920318261,0.502708835124162,0.822188745935116,0.134391896388486,0.82978971828511,0.619026614918575,0.0841725441261279,0.0149603559045689,-0.34380900763391,-1.05131508008636,-1.9528737873834,-0.139969248013754,-0.575572110712251,-0.468661884005718,-1.31441278876368,0.16309847078881,-0.41881427581923,-1.05475515256317,0.6714763739507,-0.225102073670938,1.50292526570842,0.215298855348144,-0.498180791381381,1.73544730402512,-2.44674454324296
"788","533.2820227",0.443475615268185,0.177706964494404,0.0117875083849991,0.901112786551967,0.239929554538866,0.761062233355207,0.147136085678417,0.474771269341522,0.408504778429219,0.164991872464198,0.252027278910715,0.474457311076149,0.0281378024923793,0.907270361443128,0.240283336579802,0.0246984498951994,0.465618014915745,0.768438119202363,1.35313662302466,2.54227505192425,-0.124422536890276,1.17963748166225,0.30456866489679,1.45579039960977,-0.716339680318417,0.82872516629807,1.39322961755384,-1.14876640970947,0.716990393837727,-2.21058012039721,0.116658353036516,1.17867775473094,-2.26223405187111,0.730516045849614
"789","533.3484453",0.372323506628452,0.377101716311132,0.683862136686263,0.409055207736251,0.159968359133037,0.145956365685608,0.299910935492382,0.169950687568275,0.31456259110463,0.774697740379977,0.926188937514224,0.0963442821608977,0.741497941025318,0.135401265393689,0.0964303623258281,0.792754969476116,0.0590316205180237,0.895037836306443,-0.885539903245786,-0.407838651096613,-0.82744464524573,1.41175884464898,-1.46092721871962,-1.03967884178615,-1.37847980824992,1.00883778719267,0.286614183629202,-0.0927626561353225,1.67284154784198,-0.330320665284382,1.50024083814126,1.67212077397623,0.263084190631077,-1.89475661083831
"790","533.4523094",0.869955879479148,0.739607995599076,0.802332777840319,0.545748617077917,0.861935443014772,0.694014477389366,0.739085051374645,0.538662368945417,0.917310046567661,0.987837472703572,0.75871468406834,0.780845471391611,0.77897281136812,0.792651088145771,0.68991921093793,0.935154151952028,0.0117773287549572,0.164019010600584,-0.332909481138641,-0.250687772865748,-0.605263342701953,0.174191962621173,-0.394109178468817,-0.333589733655398,-0.616143305918898,0.103985400165375,0.0152626976447274,-0.307607608748363,0.278693851524372,-0.281030627757619,0.263282006710206,0.399679116027563,0.0814637503491909,-2.53336910760445
"791","534.1873304",0.98909830483298,0.699888041979603,0.1181003667059,0.720385929417185,0.474231467952218,0.765843527385164,0.199620195417727,0.782632268748709,0.490097500659436,0.232487503921439,0.531821765242176,0.562923967183205,0.113846681915698,0.94518401419484,0.410131601955285,0.0923843622203472,0.849382823679243,-0.0136884247162793,0.386115805360146,1.57007637256486,-0.358491382858661,0.717310455411985,0.298312864491185,1.28745730572901,-0.276347746408479,0.69173532532331,1.19752457167706,-0.626362741888119,0.579732012244313,-1.58797429920397,0.0688571373248219,0.825800243303165,-1.69100652503766,-0.190060711358364
"792","534.29547",0.339390348599479,0.86591921463283,0.00864670751275027,0.475373947742727,0.733579802519855,0.322885445228375,0.166376313638765,0.843281805278854,0.487764247876461,0.00854835889031536,0.428409172961577,0.779921527645754,0.107116312661492,0.17586802294318,0.547942127450682,0.0156764253359546,0.0510551708987293,0.958531237367035,-0.169077564607276,2.65267960393576,0.715174763140633,-0.340944209188021,-0.991350853684465,1.38941469073145,-0.198000551095492,-0.695421197791308,2.65383689057774,0.793497036820066,-0.279883826499091,-1.61817004552072,-1.35908891578087,-0.602075744715571,-2.4361647371794,1.9585969155301
"793","534.3591223",0.404900581821565,0.168299297319867,0.723271137717282,0.793763512670453,0.612515284675849,0.78609008206983,0.709314303900921,0.646976070930528,0.869158992127598,0.47469286017353,0.418178802632568,0.959818695435102,0.934518587657037,0.731767414479277,0.700058030403387,0.839622117082943,0.199606655997737,-0.835430878524357,-1.38344042739288,-0.354621312825331,-0.261803292934338,-0.507486550004544,-0.271831633731548,0.373371868940227,0.45881286879131,-0.164989619164052,0.716170871242708,0.811316521379851,-0.0504614318412116,0.0822620263417193,-0.343338649949465,-0.385926720927709,-0.202635906648309,-1.28535434397907
