"","Metabolite","I - II _pval","I - III _pval","I - IV _pval","I - V _pval","I - VI _pval","I - VII _pval","II - III _pval","II - IV _pval","II - V _pval","II - VI _pval","II - VII _pval","III - IV _pval","III - V _pval","III - VI _pval","III - VII _pval","IV - V _pval","IV - VI _pval","IV - VII _pval","V - VI _pval","V - VII _pval","VI - VII _pval","LDepleted _pval","36 - 8 _pval"
"22",94.04213042,0.719550598604812,0.998002339405762,0.619245560812545,0.962391939222392,0.762708776429146,0.877505127087683,0.891953351125185,0.900950120252709,0.986134575184747,0.998243687575228,0.999935661985809,0.663823017605659,0.999138215839279,0.835756401298,0.929226230050929,0.897797445093823,0.962628184307287,0.92117664627469,0.820514268173071,0.974971849831157,0.997573148844219,0.820587698326104,0.677911386764036
"23",95.04872341,0.761438391753375,0.861294304536222,0.322355861130872,0.934577972913783,0.861018255994044,0.95791944165432,0.982547534495587,0.432609492924966,0.945977092218263,0.990582340353575,0.999935661985809,0.114848895928412,0.999138215839279,0.986206962471681,0.936059518809337,0.97545814092922,0.763206407089402,0.919897212014357,0.701651945522668,0.985215810616442,0.934958538558412,0.171188891664848,0.691934273126923
"24",95.06017935,0.806477964629099,0.926869527493697,8.48150491244416e-06,0.962391939222392,0.80089832408878,0.882355815370497,0.891953351125185,0.36370826237092,0.998440032272259,0.985915317111253,0.999935661985809,8.0476026075992e-06,0.999138215839279,0.779843806428985,0.925862858482809,0.142432819252153,0.732790086220427,0.667975717073872,0.961953539641882,0.985215810616442,0.998502984896058,4.25451730330019e-05,0.354883686461109
"25",95.0853877,0.871922074739801,0.903326887098566,0.893514138796321,0.962391939222392,0.685470922773625,0.946302067676052,0.891953351125185,0.955170802783483,0.945977092218263,0.8149397920656,0.999935661985809,0.538771639171074,0.999138215839279,0.579429100067783,0.987649609496751,0.633309949933555,0.811002364079428,0.914378159162955,0.590451195894511,0.985215810616442,0.809227573558795,0.694972414705558,0.874079437931428
"26",96.93988949,0.771756136681034,0.956061279142796,0.968092298295113,0.917656185432623,0.74040693681829,0.624903566640237,0.891953351125185,0.746674715477222,0.998440032272259,0.96670853253506,0.591652813919429,0.87716805479208,0.999138215839279,0.719066715178103,0.737206092099563,0.568298283521117,0.829891990081814,0.450029279919202,0.948265248835112,0.454992505313397,0.569437106672773,0.692286890964279,0.982146806017496
"27",97.07502282,0.658790113690422,0.861294304536222,0.820689946820224,0.9859885547022,0.754939585752123,0.817007452095675,0.921885072680779,0.443871246894423,0.945977092218263,0.497654681954006,0.999935661985809,0.320343065659449,0.999138215839279,0.639630775955248,0.965818105742038,0.92267170216308,0.916009507855066,0.63587414426625,0.795890538341118,0.973860464586253,0.70999249250061,0.31448281230854,0.942226079274229
"28",98.97507199,0.761438391753375,0.990580474074353,0.590967712049557,0.962391939222392,0.942306702835433,0.933012530510288,0.900972662899921,0.529920306830413,0.945977092218263,0.78991945161121,0.999935661985809,0.555652376706459,0.999138215839279,0.929357916766454,0.987649609496751,0.937878507034011,0.974659125720689,0.800828592871462,0.981844781150048,0.973860464586253,0.934964311919257,0.389339087859865,0.880841586052007
"29",98.98397636,0.771756136681034,0.992251847767727,0.472322860142313,0.962391939222392,0.89954214251353,0.894803941280973,0.900972662899921,0.491052418737028,0.945977092218263,0.974182058728102,0.999935661985809,0.537986818736996,0.999138215839279,0.932629845257466,0.965818105742038,0.89853432714036,0.825534856618242,0.714485667386719,0.795720674180172,0.973860464586253,0.993924484709201,0.334699314045749,0.856571735733983
"30",100.0753967,0.973288502208579,0.99967903376067,0.0929441651916,0.910533547798914,0.975208205919542,0.858448611176944,0.978237692989094,0.529920306830413,0.95392771098167,0.975769728270112,0.999935661985809,0.247453506068395,0.999138215839279,0.982714456428672,0.925862858482809,0.0488885554061773,0.840097727734991,0.992602543124224,0.778477751587758,0.964790640707484,0.906854752268203,0.0271373989494549,0.958014339319742
"31",101.0366138,0.931352228458773,0.984446147865439,0.251060759826553,0.962391939222392,0.845753449801756,0.987536546545855,0.970138968812759,0.590747711671243,0.998440032272259,0.82938643573289,0.999935661985809,0.344749965372535,0.999138215839279,0.858648886515623,0.987649609496751,0.387091954333676,0.977172233058329,0.870243171499111,0.778048790186214,0.985215810616442,0.975819262768154,0.124609656768753,0.928511111929494
"32",101.9875665,0.807888837803806,0.971380822061181,0.820357968525727,0.962391939222392,0.991420415266181,0.905902206811374,0.92432938835148,0.917803812769074,0.99725978335693,0.905847334194883,0.999935661985809,0.948304513086903,0.999138215839279,0.970118308256038,0.984489698546599,0.988204916410859,0.972023881858341,0.931191489724048,0.932793767796164,0.985215810616442,0.957855821762363,0.985513215794523,0.677244261983297
"33",103.0548947,0.887230505930934,0.9261617438014,0.0395291710556085,0.910533547798914,0.861748225922038,0.987536546545855,0.891953351125185,0.655633731630397,0.993329455759914,0.807139480422587,0.999935661985809,0.0215161307443032,0.999138215839279,0.965845111417191,0.987250029805579,0.78583914617621,0.664716850468785,0.759038976948967,0.672737204143123,0.973860464586253,0.957855821762363,0.0935704652713344,0.913417825889812
"34",103.1230078,0.635794468577005,0.990580474074353,1.51696236297847e-07,0.854794843654319,0.926048114852494,0.763466102472148,0.891953351125185,0.435681351810972,0.998440032272259,0.835618346751151,0.999935661985809,3.23343275961101e-06,0.999138215839279,0.914221182730972,0.798498956906854,0.223957891767925,0.602362979046656,0.832578509150937,0.795036556902203,0.985215810616442,0.839072685006329,4.25451730330019e-05,0.70904221752091
"35",104.0701777,0.627960114206956,0.710758174455622,0.63432273415518,0.910533547798914,0.961761111734279,0.933012530510288,0.936076866925034,0.694239950541882,0.945977092218263,0.77200328569775,0.999935661985809,0.623051778385273,0.296037981298738,0.859299949445698,0.975719121993034,0.239048607439239,0.974659125720689,0.987612965088242,0.766534530809466,0.964790640707484,0.993924484709201,0.897120053917649,0.891599442949664
"36",104.1067732,0.743800952834514,0.903326887098566,0.22956032555477,0.962391939222392,0.956013870047974,0.894803941280973,0.954267937040608,0.985086462926894,0.998440032272259,0.905847334194883,0.999935661985809,0.791099052290043,0.999138215839279,0.944007908385621,0.987649609496751,0.915958240645057,0.911768174697145,0.979797193045484,0.889704105923971,0.990619016208993,0.981312134568141,0.661062375130972,0.677244261983297
