,Feature Name,m/z,Retention Time,m/z - Minimum,m/z - Maximum,Retention Time - Minimum,Retention Time - Maximum,Exclusion Details,User Excluded
1869,257.11_647.5146m/z,647.514567096,4.285091638565,647.512802976818,647.519725692222,255.25099754334,258.613986969,,False
1870,699.79_647.6358m/z,647.63579538515,11.663200378417999,647.63182950732,647.638688935747,696.2679862975799,701.4289855957201,,False
1871,709.49_647.6361m/z,647.636116563898,11.824908256530998,647.632374540673,647.638727689042,708.3579826354801,710.6439971923799,,False
1872,555.9_647.6542m/z,647.654179546299,9.265033721924,647.64955040487,647.656287261512,549.4370269775401,557.6329994201401,,False
1873,532.54_647.6526m/z,647.652589823043,8.875716209412,647.64931917689,647.656277651939,515.78201293944,534.5139884949,,False
1874,155.85_648.4188m/z,648.418829760345,2.597508430481,648.415798896733,648.42277146489,154.57300186158,156.69699668886003,,False
1875,257.11_648.5177m/z,648.5176609211701,4.285150051117,648.513844828842,648.520750285247,255.45899391174,258.73300552367994,,False
1876,506.88_648.6298m/z,648.629839846724,8.447991847992,648.625822905516,648.632706705821,503.8669967651401,512.0289802551,,False
1877,492.99_648.6296m/z,648.629645750272,8.216449737549002,648.625799546038,648.63274843654,485.29598236085997,494.3689727783401,,False
1878,525.14_648.63m/z,648.629996111913,8.7523417472835,648.625812536927,648.632758792198,515.2239990234599,531.5630149841401,,False
1879,468.31_648.6292m/z,648.629208047533,7.805175065994501,648.625806898763,648.632749899329,465.08800506594,469.46399688720004,,False
1880,541.0_648.6668m/z,648.666759905085,9.016716957092001,648.6642963903321,648.671265124974,537.63999938964,542.09798812866,,False
1881,155.8_649.4172m/z,649.417190143403,2.5966749191285006,649.4133374824099,649.420285428351,154.53000068664,156.70200347898,,False
1882,274.08_649.5292m/z,649.529248574725,4.567916870117001,649.52539116783,649.532276457035,272.33399391174,275.2900028229,,False
1883,468.49_649.6308m/z,649.630762227939,7.808199882507,649.6267918704821,649.633720484214,464.43700790406,469.50299263002,,False
1884,506.95_649.6333m/z,649.633288804425,8.4491748809815,649.630303460409,649.6371965574859,503.87300491332,515.56102752684,,False
1885,525.29_649.6332m/z,649.633243279092,8.754833221436,649.630320630188,649.637280888097,515.71701049806,531.79698944094,,False
1886,493.09_649.6332m/z,649.633208814911,8.218208312988,649.630300827195,649.637254420408,486.16401672366,494.28199768068004,,False
1887,541.21_649.6663m/z,649.666261603051,9.020183563231999,649.661971625839,649.668772270708,538.30902099612,542.36200332642,,False
1888,155.19_650.432m/z,650.4319580337581,2.586425065994,650.428384281063,650.4352756780111,142.88400650021998,158.13400268556,,False
1889,146.49_650.4414m/z,650.441401156404,2.441450119019,650.43879185806,650.4457552209041,145.1800060272,159.90200042723998,,False
1890,207.9_650.5223m/z,650.522349124485,3.464983224869,650.519348070105,650.5262540621829,206.59900188444,209.02500629424,,False
1891,274.06_650.5327m/z,650.532730827551,4.5676832199095,650.5298056233651,650.536756596875,272.53400802612003,275.44898986818,,False
1892,516.97_650.6453m/z,650.645301199546,8.6160917282105,650.641812441821,650.648756336715,513.7439918518199,525.57300567624,,False
1893,540.41_650.6461m/z,650.646109413618,9.006766319275,650.641972105384,650.648783730369,531.56902313232,546.4649963379001,,False
1894,501.4_650.6454m/z,650.645359750589,8.356650352477999,650.6417925952189,650.6487230669239,498.14500808718,507.91299819948,,False
1895,491.96_650.6445m/z,650.644482334917,8.19939994812,650.6417909806289,650.648641877091,488.31699371339994,493.25397491454004,,False
1896,175.84_651.1242m/z,651.124179615501,2.9305833578110003,651.121307880025,651.1281375094451,174.33600425718004,176.81300640108003,,False
1897,195.88_651.5166m/z,651.516640254652,3.26464176178,651.513352958433,651.5202754231871,185.15699386596,196.86900615689999,,False
1898,207.85_651.5244m/z,651.524371095668,3.4642000198360003,651.520298389994,651.52726896544,206.59900188444,208.84400367738,,False
1899,492.05_651.6468m/z,651.646829390934,8.200799942017001,651.642802014235,651.64973575184,488.7740135193,493.20201873779996,,False
1900,540.44_651.6493m/z,651.649310294527,9.007400035858499,651.646296527511,651.653272607778,535.21900177002,546.43198013304,,False
1901,516.91_651.6492m/z,651.6491584288771,8.6152167320255,651.646309770064,651.6532421701551,513.68900299074,525.89000701902,,False
1902,501.42_651.6492m/z,651.649211763555,8.356958389282001,651.646298804589,651.65326089247,498.20497512815996,507.2110176086401,,False
1903,175.83_651.7928m/z,651.792826379647,2.930533409119,651.789811804817,651.796724836682,174.33600425718004,176.8750047684,,False
1904,175.75_652.1266m/z,652.126584525171,2.9292333126069994,652.122467208429,652.129232860852,174.33600425718004,177.04200267792,,False
1905,142.47_652.4574m/z,652.457387644311,2.37450838089,652.454896428788,652.461779300246,129.93700504302,143.44000339506002,,False
1906,199.23_652.4657m/z,652.4657004835859,3.3205165863039996,652.461904731122,652.468784971278,197.63899326323997,200.38700580594,,False
1907,163.19_652.501m/z,652.500970721159,2.719916582108,652.49680013999,652.503783156302,151.83199882506,170.20999431612,,False
1908,195.94_652.5364m/z,652.5364437231041,3.2657248973845,652.532486743978,652.538749392239,194.68999385832,196.86900615689999,,False
1909,69.08_653.3165m/z,653.316486391643,1.1513667106630001,653.312366849285,653.31924631576,67.56099700925999,69.85000133513999,,False
1910,154.09_653.4851m/z,653.485090573148,2.5680999755855,653.481016887503,653.487278485629,143.62399578096,154.93100166318,,False
1911,163.09_653.5051m/z,653.505067327264,2.7181084156035,653.501368918297,653.5082897739401,153.68900299074,172.6559972763,,False
1912,195.92_653.5404m/z,653.540363470161,3.265383243561,653.536357223281,653.543281924716,194.68999385832,196.86900615689999,,False
1913,169.99_654.3341m/z,654.334108136333,2.83310008049,654.330843529346,654.337725892873,161.66300296782,171.13599300383999,,False
1914,163.18_654.4814m/z,654.481409594181,2.719616651535,654.4778267953401,654.484773398642,153.21099758148,165.49299716952,,False
1915,154.09_654.4909m/z,654.4909414563849,2.5681834220889996,654.4883087731549,654.4952795238639,152.90100574494,163.79799842832,,False
1916,193.56_654.5169m/z,654.516932184165,3.226000070572,654.51302529328,654.519669039968,181.08299732208,209.66500282290002,,False
1917,317.9_654.5326m/z,654.53257777903,5.298299789429,654.530346984557,654.537127142377,304.28601264954,318.6910057068,,False
1918,214.48_654.5524m/z,654.552371519208,3.574699997902,654.547850437252,654.554757971242,208.63500595092,217.24199295041998,,False
