,Feature Name,m/z,Retention Time,m/z - Minimum,m/z - Maximum,Retention Time - Minimum,Retention Time - Maximum,Exclusion Details,User Excluded
0,83.88_73.0282m/z,73.02817745832259,1.3980666399000001,73.0265255317244,73.02897467114059,82.82800197600001,84.9410033226,,False
1,59.45_78.9578m/z,78.95784541126271,0.9908666610715,78.956394820535,78.9589017828861,54.65299844742,89.01399850848,,False
2,258.6_79.9561m/z,79.9561416957533,4.310041666031,79.95463352455059,79.9571026796937,256.49199485778,259.82199668886,,False
3,50.59_87.0077m/z,87.00765506901399,0.8431000113489999,87.00551670037859,87.00855028771959,45.29399871828,78.0799984932,,False
4,37.56_87.0076m/z,87.0076315133701,0.626066684723,87.0062723753965,87.00849593842051,33.443001508740004,41.016998291040004,,False
5,89.72_88.0392m/z,88.03923070130541,1.495416641235,88.0360561714065,88.0404202140545,88.88299942014,92.82400131228,,False
6,59.28_89.0234m/z,89.0233776416751,0.988033354282,89.0194705998358,89.0239291966449,46.49299979208,65.87500333788,,False
7,70.16_89.0233m/z,89.0232956951134,1.169250011444,89.02204523791609,89.02420269736379,66.13800287244,86.6659998894,,False
8,59.33_89.0492m/z,89.04919388328899,0.9888249933719998,89.0479515052709,89.0515219256068,59.05399918554,59.60999965668,,False
9,59.29_90.0267m/z,90.02669016113941,0.9880999922749999,90.0238246259518,90.0304347686459,57.73600101468001,63.930001258859996,,False
10,59.35_91.0279m/z,91.0278918711353,0.9892333149910001,91.02590520120131,91.0301413379039,58.67300033568001,59.766998291040004,,False
11,74.15_92.0243m/z,92.0243307961675,1.235833287239,92.02314023795749,92.0248808258333,67.42899656298,74.8729991913,,False
12,181.4_93.0335m/z,93.03349131286899,3.0233249664305,93.0315457931752,93.0342053030181,167.30800151826,182.61899471279997,,False
13,281.58_95.9158m/z,95.9157771457943,4.6930499076845,95.91378304846201,95.91645022503359,273.32299232483996,291.56498908998,,False
14,84.01_99.0077m/z,99.0077390295566,1.400133371353,99.0063624869184,99.0091350017186,82.82800197600001,86.64799690248002,,False
15,101.02_103.0391m/z,103.039118607348,1.6836500167849997,103.036918445636,103.040239136623,85.62000274656,113.52200031282,,False
16,39.09_105.0184m/z,105.018363556612,0.651499986649,105.017117398029,105.019083962043,38.860001564040004,43.6379992962,,False
17,54.49_107.0355m/z,107.035473066259,0.908133327961,107.033184992887,107.03651602068001,54.15599942208,62.1650004387,,False
18,258.61_107.0491m/z,107.049149299506,4.310150146484,107.04641463872,107.050253036849,244.86099243162002,267.8849887848,,False
19,80.69_108.0194m/z,108.01942617546601,1.344816684723,108.01794325278,108.02034762079,75.2309989929,81.15599870681999,,False
20,103.17_108.0447m/z,108.04467009025299,1.719499945641,108.04280128879499,108.046873247416,94.02400016784,104.23200130464001,,False
21,258.57_108.0529m/z,108.052878059496,4.309516429901,108.050345623193,108.05377541069201,256.60600662234,259.82199668886,,False
22,43.07_108.9955m/z,108.99548022364401,0.7177833318710001,108.99326836329,108.996390274517,42.88600087164,46.949000358599996,,False
23,162.19_109.0291m/z,109.02905297387699,2.7032332420345,109.02500112821801,109.03144477989201,160.8699989319,170.00600337984,,False
24,51.36_110.024m/z,110.02396446328999,0.8560166954990002,110.021976879492,110.025485628583,48.00099849702,58.37999939915999,,False
25,85.18_110.0239m/z,110.02394207665701,1.4196249842645001,110.01977532711399,110.025422136443,84.11400318144,87.04399824144001,,False
26,39.34_110.975m/z,110.974987068853,0.6557333469390001,110.97343428001801,110.976163905421,39.002001285540004,39.63299989698,,False
27,69.37_111.0079m/z,111.007895508467,1.1561499834059998,111.00593391126301,111.009066985294,58.65000128748,85.641002655,,False
28,58.91_111.019m/z,111.019029753601,0.9817833304410001,111.01597545713301,111.019967087248,57.755001783359994,61.751997470880006,,False
29,49.29_111.019m/z,111.019047641974,0.8215833306315,111.01457121997299,111.019989309494,48.883999586099996,53.13000082967999,,False
30,84.66_111.03m/z,111.029954266204,1.411049962044,111.028408233822,111.030738681032,83.97899866104,85.15500068664001,,False
31,53.58_112.9847m/z,112.98467869071399,0.8930000066755,112.983505832803,112.989766726252,47.355000972720006,67.44900226595999,,False
32,127.92_114.0551m/z,114.055139032884,2.132033348083,114.053419798252,114.056241225538,126.92300319671999,129.5690059662,,False
33,67.51_114.0552m/z,114.055162498043,1.125174999237,114.053652574436,114.056925805598,60.940997600580005,69.73400115966,,False
34,54.78_114.0552m/z,114.05524390447201,0.9129833281040001,114.05345180153799,114.05635629211001,47.29299902915999,58.95200014116,,False
35,112.23_114.0552m/z,114.05519488953999,1.870499968529,114.05330285532601,114.056228775237,109.63399887084,112.77000188826,,False
36,46.71_115.0028m/z,115.00279442430299,0.7785166501999999,115.000302955724,115.004215223138,42.651000022859996,54.94599938394,,False
37,59.18_115.02m/z,115.02001891752701,0.986258327961,115.017996318029,115.021191655972,58.784998655340004,61.866002082840005,,False
38,69.37_116.0247m/z,116.024715559172,1.1560916900635,116.02353341268801,116.02518337297701,57.27899909021999,82.92700052261999,,False
39,49.77_116.0343m/z,116.03432110189699,0.829550027847,116.031019618144,116.035487236644,49.41799879074,56.27900004384,,False
40,78.61_116.0342m/z,116.034236721401,1.3102083206175001,116.032038655844,116.036102809168,71.86300277712,79.2329978943,,False
41,51.5_116.0708m/z,116.070787582083,0.8582833409309999,116.06816060076,116.07196590593901,47.25500106810001,70.15199661252,,False
42,38.48_116.0708m/z,116.070835797878,0.6413833498949999,116.06793213321899,116.071856676841,38.16599965098,41.47700071332,,False
43,120.36_116.0708m/z,116.070779903625,2.005924940109,116.069007036096,116.071632460993,118.77000331878,123.72599601744,,False
44,89.15_116.0709m/z,116.070870042261,1.4858000278469998,116.069119408633,116.071931309482,80.42899847028,92.13799953462,,False
45,83.92_117.0185m/z,117.018536870863,1.398716688156,117.017261054098,117.019571378797,81.32800340652,111.56400203706,,False
46,274.26_117.0337m/z,117.03366422934299,4.570983409882001,117.031792751502,117.03491901983801,273.84598731996005,280.06299018858,,False
47,83.88_117.0486m/z,117.048629286371,1.398033320904,117.045547745025,117.050332075861,82.82800197600001,85.05600214002,,False
48,161.98_117.0546m/z,117.05462463207199,2.6996667385099995,117.050627225091,117.05567616681002,161.24899864193998,184.31699752806,,False
49,83.87_117.1059m/z,117.105914924056,1.397799968719,117.104867620018,117.10658158978599,82.82800197600001,85.28399705886,,False
50,83.87_118.0218m/z,118.021753968778,1.397899985313,118.02000010164,118.022612606721,82.82800197600001,85.28399705886,,False
51,161.91_118.0582m/z,118.058186455885,2.6985583305360006,118.056606339015,118.059070120212,161.3089942932,169.19199943542,,False
52,83.88_119.023m/z,119.022959268395,1.39805829525,119.019609956368,119.024120044884,82.82800197600001,85.28399705886,,False
53,56.38_119.0341m/z,119.03407509959601,0.939724981785,119.030522532393,119.034983749386,55.983999967559996,60.018997192380006,,False
54,46.22_119.0341m/z,119.03406021854201,0.7703999876979999,119.032378980527,119.03557230700599,36.78099989892,51.11000061035999,,False
55,274.25_119.0493m/z,119.049313278377,4.570849895477,119.046247378102,119.050619027757,265.37100791934,279.94800567624003,,False
56,85.26_119.0494m/z,119.04935117006501,1.4210416674614998,119.047404968223,119.05065951836,83.69999885562,91.15600347515999,,False
57,172.27_119.0494m/z,119.049362320928,2.871183395386,119.04710883134399,119.050337732087,171.77299976346,176.96000576021999,,False
